item_id,object_name,pic_file,Response,Score,Comment
64,BIKE PEDALS,28_vis_bike pedals.png,fietstrappers,,
64,BIKE PEDALS,28_vis_bike pedals.png,pedalen,,
64,BIKE PEDALS,28_vis_bike pedals.png,pendalen,,
64,BIKE PEDALS,28_vis_bike pedals.png,trappedalen/fietspedalen,,
64,BIKE PEDALS,28_vis_bike pedals.png,trappers,,
64,BIKE PEDALS,28_vis_bike pedals.png,trappers (van de fiets),,
65,ICE CREAM CONE,31_u2_ice cream cone.png,hoorntje,,
65,ICE CREAM CONE,31_u2_ice cream cone.png,horentje,,
65,ICE CREAM CONE,31_u2_ice cream cone.png,ijs hoorn,,
65,ICE CREAM CONE,31_u2_ice cream cone.png,ijs hoorntje,,
65,ICE CREAM CONE,31_u2_ice cream cone.png,ijshoorn,,
65,ICE CREAM CONE,31_u2_ice cream cone.png,ijshoorntje,,
65,ICE CREAM CONE,31_u2_ice cream cone.png,ijsje,,
66,CEMENT TRUCK,32_sem_cement truck.png,betonwagen,,
66,CEMENT TRUCK,32_sem_cement truck.png,cement vrachtwagen,,
66,CEMENT TRUCK,32_sem_cement truck.png,cement wagen,,
66,CEMENT TRUCK,32_sem_cement truck.png,cementvrachtwagen,,
66,CEMENT TRUCK,32_sem_cement truck.png,cementwagen,,
67,TEDDY BEAR,33_u1_teddy bear.png,beer,,
67,TEDDY BEAR,33_u1_teddy bear.png,knuffelbeer,,
67,TEDDY BEAR,33_u1_teddy bear.png,speelgoed beer,,
67,TEDDY BEAR,33_u1_teddy bear.png,teddy beer,,
67,TEDDY BEAR,33_u1_teddy bear.png,teddybeer,,
68,BOTTLE OPENER,34_u2_bottle opener.png,bieropener,,
68,BOTTLE OPENER,34_u2_bottle opener.png,blikopener,,
68,BOTTLE OPENER,34_u2_bottle opener.png,flesopener,,
68,BOTTLE OPENER,34_u2_bottle opener.png,flessenopener,,
69,COAT RACK,36_sem_coat rack.png,..,,
69,COAT RACK,36_sem_coat rack.png,jas,,
69,COAT RACK,36_sem_coat rack.png,jassenhanger,,
69,COAT RACK,36_sem_coat rack.png,kapstok,,
69,COAT RACK,36_sem_coat rack.png,kledingrek,,
69,COAT RACK,36_sem_coat rack.png,regenjas,,
69,COAT RACK,36_sem_coat rack.png,weet ik niet,,
69,COAT RACK,36_sem_coat rack.png,x,,
70,BAND AID,38_vis_band aid.png,ehbo doos,,
70,BAND AID,38_vis_band aid.png,pleister,,
70,BAND AID,38_vis_band aid.png,pleister (/verband),,
70,BAND AID,38_vis_band aid.png,plijster,,
70,BAND AID,38_vis_band aid.png,verband,,
70,BAND AID,38_vis_band aid.png,x,,
71,DENTIST CHAIR,42_u2_dentist chair.png,tandardsstoel,,
71,DENTIST CHAIR,42_u2_dentist chair.png,tandarts stoel,,
71,DENTIST CHAIR,42_u2_dentist chair.png,tandartsenstoel,,
71,DENTIST CHAIR,42_u2_dentist chair.png,tandartsstoel,,
71,DENTIST CHAIR,42_u2_dentist chair.png,tandartstoel,,
72,ROCKING CHAIR,43_sem_rocking chair.png,hobbelstoel,,
72,ROCKING CHAIR,43_sem_rocking chair.png,schommel stoel,,
72,ROCKING CHAIR,43_sem_rocking chair.png,schommelstoel,,
72,ROCKING CHAIR,43_sem_rocking chair.png,stoel,,
72,ROCKING CHAIR,43_sem_rocking chair.png,wiebelstoel,,
72,ROCKING CHAIR,43_sem_rocking chair.png,wipstoel,,
72,ROCKING CHAIR,43_sem_rocking chair.png,x,,
73,TRASH CAN,48_u1_trash can.png,afvalbak,,
